TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
15-07-2020 0.00,TXN00001126,A00005066,PLC00001767,25-06-2010,10-07-2020,11-07-2020,Travel,70.48,4000,Grace Trower,84 Orange Street,,Barre,VT,5641,144-88-1260,Y,45,12,Y,5,L,Mortgage,MI,99393511,EBVH69799174377229,Bachelor,A,Minor Loss,Ambulance,1,1,MA,Palmer,1,AGENT00199,VNDR00574
15-07-2020 0.00,TXN00001127,A00003523,PLC00002768,26-09-2015,28-06-2020,03-07-2020,Mobile,11.38,600,Paul Wasinger,1909 Seventh Street,M,Berkeley,CA,94710,676-84-5278,Y,52,108,Y,5,L,Own,HI,92881266,MBIM80814149181591,Bachelor,A,Major Loss,Police,1,0,FL,Panama City,20,AGENT00468,
15-07-2020 0.00,TXN00001128,A00008487,PLC00000271,10-07-2010,27-06-2020,02-07-2020,Motor,127.86,5000,Betty Alvarez,5747 West Missouri Avenue,#122,Glendale,AZ,85301,019-50-1963,Y,27,29,Y,5,L,Own,LI,96182123,GAOG55067735789602,MD,A,Major Loss,Police,0,0,AL,Montgomery,8,AGENT00729,VNDR00587
15-07-2020 0.00,TXN00001129,A00002881,PLC00000099,09-01-2017,11-07-2020,12-07-2020,Mobile,11.85,400,Sybil Mantini,3065 East Pebblestone Drive,,Fayetteville,AR,72701,381-94-0035,Y,49,24,Y,6,H,Own,MI,31315340,EHBK41075615234215,Bachelor,A,Total Loss,Ambulance,1,1,CO,Arvada,19,AGENT00425,
15-07-2020 0.00,TXN00001130,A00006520,PLC00009887,16-01-2012,29-06-2020,04-07-2020,Mobile,11.54,700,Elizabeth Chavarria,1124 Frederick Douglass Avenue,,Oklahoma City,OK,73117,646-73-1191,Y,42,71,Y,7,M,Rent,HI,90494448,FCOA55581628852884,High School,A,Minor Loss,Police,1,1,CA,Fremont,18,AGENT00247,VNDR00186
15-07-2020 0.00,TXN00001131,A00000168,PLC00000438,13-05-2013,08-07-2020,10-07-2020,Travel,55.79,2000,Thomas Becnel,1400 Rosa L Parks Boulevard,#305,Nashville,TN,37208,334-60-6682,Y,44,86,Y,3,M,Rent,LI,25808054,BRTD32657541453199,Bachelor,A,Total Loss,None,1,1,DC,Washington,11,AGENT00071,VNDR00134
15-07-2020 0.00,TXN00001132,A00007560,PLC00007289,22-10-2013,29-06-2020,04-07-2020,Mobile,6.05,400,Regina Turrie,18 Cambridge Street,,Manchester,CT,6042,827-46-4688,Y,47,93,Y,3,H,Rent,MI,11757711,MHOB49065183211289,High School,A,Minor Loss,None,0,0,AL,Montgomery,5,AGENT00329,
15-07-2020 0.00,TXN00001133,A00007126,PLC00001170,22-04-2019,10-07-2020,11-07-2020,Travel,82.27,4000,Cynthia Lollar,15 Lakewood Drive,,Thunderbolt,GA,31410,528-36-5708,N,57,16,Y,5,M,Mortgage,MI,65738618,UIUH69010513761662,High School,A,Minor Loss,Ambulance,1,0,GA,Savannah,14,AGENT00607,
15-07-2020 0.00,TXN00001134,A00008044,PLC00000841,25-09-2017,01-07-2020,06-07-2020,Mobile,8.16,600,Olga Caudle,1309 Clay Avenue,,Panama City,FL,32401,103-73-9865,Y,39,112,Y,6,H,Mortgage,MI,74462690,DLIF05635881639361,Bachelor,A,Major Loss,Other,0,1,AL,Montgomery,3,AGENT00367,VNDR00366
15-07-2020 0.00,TXN00001135,A00000867,PLC00003461,14-02-2018,11-07-2020,12-07-2020,Travel,71.54,1000,Vanessa Jones,3008 Russell Street,#R 1,Berkeley,CA,94705,481-61-5048,Y,54,75,Y,5,M,Own,HI,83366017,RGED68628002136180,Bachelor,A,Total Loss,Ambulance,1,1,MA,Fitchburg,18,AGENT00652,
15-07-2020 0.00,TXN00001136,A00009484,PLC00004994,14-12-2010,26-06-2020,01-07-2020,Motor,134.42,10000,Sonya Isaacs,345 Buckland Hills Drive,#7,Manchester,CT,6042,854-55-5384,N,63,109,Y,2,L,Own,MI,55365978,WPKK70573118423902,Bachelor,A,Minor Loss,Police,1,0,MD,Laurel,6,AGENT00077,VNDR00151
15-07-2020 0.00,TXN00001137,A00004758,PLC00005018,20-01-2020,02-07-2020,07-07-2020,Property,112.9,25000,Nancy Hill,295 Townes Drive,,Nashville,TN,37211,425-38-8343,Y,35,102,Y,3,L,Rent,MI,53612966,ZBYK81190380515951,Bachelor,A,Minor Loss,None,1,0,AZ,Glendale,6,AGENT01164,VNDR00099
15-07-2020 0.00,TXN00001138,A00009285,PLC00005671,26-04-2019,04-07-2020,09-07-2020,Health,187.39,4000,Lisa Yarrington,12061 Johns Road,#APT 000002,Anchorage,AK,99515,310-81-8785,Y,63,118,Y,2,H,Mortgage,HI,96418415,OUGD71116609161560,High School,D,Total Loss,Ambulance,0,1,TN,Nashville,18,AGENT00989,VNDR00277
15-07-2020 0.00,TXN00001139,A00002847,PLC00007752,02-06-2010,30-06-2020,05-07-2020,Motor,103.97,9000,Mary Leon,325 Alexander Drive,,Lynn Haven,FL,32444,113-67-2159,N,50,20,Y,3,L,Mortgage,MI,68976545,YNZX78284350392380,Bachelor,A,Major Loss,Police,1,1,GA,Savannah,20,AGENT00194,
15-07-2020 0.00,TXN00001140,A00004620,PLC00008337,03-04-2019,14-07-2020,14-07-2020,Health,100.1,14000,Jeannette Smith,3100 Don Juan Court,,Montgomery,AL,36110,392-97-1556,Y,61,12,Y,5,M,Mortgage,HI,58691500,HODV88406024826315,High School,A,Minor Loss,Ambulance,1,1,VT,Pawlet,11,AGENT01120,VNDR00597
15-07-2020 0.00,TXN00001141,A00005941,PLC00002612,07-10-2018,12-07-2020,12-07-2020,Travel,57.12,3000,Louise Poss,501 Holly Avenue,,Pooler,GA,31322,877-63-6012,N,51,52,Y,4,M,Rent,HI,100824186,OECK77899059794638,MD,A,Minor Loss,Ambulance,0,1,VT,,19,AGENT00206,VNDR00037
15-07-2020 0.00,TXN00001142,A00008749,PLC00004029,28-10-2013,11-07-2020,12-07-2020,Health,141.6,8000,Joellen Thompson,38676 Greenwich Circle,,Fremont,CA,94536,093-14-8486,Y,61,115,Y,7,L,Mortgage,LI,59306454,ZLNH76828973350427,Masters,A,Minor Loss,Ambulance,1,1,AL,Montgomery,16,AGENT01127,
16-07-2020 0.00,TXN00001143,A00007461,PLC00006846,03-08-2014,13-07-2020,13-07-2020,Health,111.11,18000,Kerri Bissonnette,1505 Rosewood Avenue,#11,Louisville,KY,40204,738-73-7535,Y,34,74,Y,7,H,Mortgage,MI,76582413,OBEM04727444578871,Bachelor,A,Minor Loss,Police,1,1,AK,Anchorage,11,AGENT00933,
16-07-2020 0.00,TXN00001144,A00006150,PLC00001935,09-05-2016,30-06-2020,05-07-2020,Health,194.87,10000,Lucy Mcclure,318 Lydall Street,,Manchester,CT,6042,650-55-5677,Y,42,99,Y,3,M,Own,LI,61490015,RYFI19264270198092,NA,A,Major Loss,Police,1,0,CA,Hayward,18,AGENT00567,VNDR00592
16-07-2020 0.00,TXN00001145,A00003394,PLC00008985,27-01-2017,04-07-2020,09-07-2020,Life,61.57,29000,Susan Corrigan,829 Dunbarton Road,,Montgomery,AL,36117,232-70-2058,Y,54,28,Y,6,H,Mortgage,MI,65139071,SRDS16526841573928,Bachelor,A,Minor Loss,Police,1,1,CA,Castro Valley,7,AGENT00183,VNDR00594
16-07-2020 0.00,TXN00001146,A00002431,PLC00008710,14-05-2019,10-07-2020,12-07-2020,Life,74.17,21000,Flora Scipioni,2169 Barre Road,,Hubbardston,MA,1452,625-94-9448,Y,48,32,Y,2,M,Rent,LI,113263925,FLZU03919581173268,Masters,A,Major Loss,Police,1,1,CA,Newark,19,AGENT00321,
16-07-2020 0.00,TXN00001147,A00001725,PLC00004468,22-06-2011,09-07-2020,11-07-2020,Motor,114.16,8000,Harold Avery,3437 Sommerville Drive,,Montgomery,AL,36111,655-73-5596,N,61,116,Y,2,M,Rent,MI,74590766,PLJC47733698982482,Bachelor,A,Minor Loss,Ambulance,0,0,AR,Fayetteville,4,AGENT00327,VNDR00369
16-07-2020 0.00,TXN00001148,A00004828,PLC00007641,02-08-2012,07-07-2020,10-07-2020,Property,116.32,39000,Matt Yokum,9436 Briarlea Court,,Montgomery,AL,36117,483-61-5288,Y,47,76,Y,3,M,Rent,MI,38080254,EDPT67961427335602,Bachelor,A,Minor Loss,Police,1,0,DC,Washington,5,AGENT00069,VNDR00128
16-07-2020 0.00,TXN00001149,A00002751,PLC00003084,25-07-2012,28-06-2020,03-07-2020,Motor,138.08,2000,Jennifer Paulson,2224 East Tall Oaks Drive,,Fayetteville,AR,72703,528-93-7001,Y,35,82,Y,2,L,Rent,HI,41872624,YNEH54702852234194,Bachelor,A,Major Loss,Ambulance,1,1,VT,Windham,13,AGENT00213,VNDR00267
16-07-2020 0.00,TXN00001150,A00006735,PLC00006013,26-04-2012,13-07-2020,13-07-2020,Property,157.09,15000,Matthew Siefkes,618 Amberjack Drive,,Panama City,FL,32408,574-33-9473,Y,45,42,Y,5,M,Mortgage,HI,46271563,EOSK82588895458181,Bachelor,A,Minor Loss,Ambulance,1,0,FL,Panama City,13,AGENT00915,
16-07-2020 0.00,TXN00001151,A00008597,PLC00006542,17-12-2012,10-07-2020,12-07-2020,Property,115.92,39000,Guy Staggers,319 West Silverwood Drive,,Midwest City,OK,73110,039-04-4587,Y,49,37,Y,7,M,Rent,MI,95750637,EJNF82070210015066,Bachelor,A,Major Loss,Police,1,1,MA,Watertown,9,AGENT01117,
16-07-2020 0.00,TXN00001152,A00002033,PLC00002680,15-05-2017,06-07-2020,09-07-2020,Travel,74.87,2000,Jean Cunningham,309 Glenwood Avenue,,Glen Burnie,MD,21061,365-78-9238,Y,45,107,Y,6,M,Mortgage,MI,87817054,PRTS85763495296563,Bachelor,A,Total Loss,Other,1,1,AZ,Glendale,18,AGENT00702,
16-07-2020 0.00,TXN00001153,A00002785,PLC00004257,20-02-2013,14-07-2020,14-07-2020,Health,161.51,9000,Terri Filmore,12300 Apache Avenue,#107,Savannah,GA,31419,328-38-3720,Y,31,8,Y,6,L,Mortgage,MI,90697915,ZWQW12803154830322,High School,A,Total Loss,None,0,0,AL,Montgomery,13,AGENT00955,VNDR00191
16-07-2020 0.00,TXN00001154,A00006871,PLC00001901,14-09-2016,14-07-2020,14-07-2020,Motor,113.54,10000,Carol New,7131 North 67th Avenue,#5,Glendale,AZ,85301,522-83-2780,Y,60,8,Y,7,M,Rent,HI,11410375,CYDX68617136007304,Bachelor,A,Major Loss,Police,1,1,DC,Washington,10,AGENT01015,VNDR00512
16-07-2020 0.00,TXN00001155,A00007364,PLC00003643,02-05-2016,11-07-2020,12-07-2020,Motor,137.78,2000,Huong Clay,88 Pine Valley Road,,Savannah,GA,31404,751-04-1307,Y,55,105,Y,3,M,Own,HI,63450121,KSCB28204340184895,Bachelor,D,Total Loss,Ambulance,0,0,DC,Washington,9,AGENT00636,VNDR00540
16-07-2020 0.00,TXN00001156,A00005186,PLC00009414,14-10-2018,11-07-2020,12-07-2020,Health,144.79,17000,Julian Dees,4074 North Sunflower Circle,,Fayetteville,AR,72703,708-45-9688,Y,41,62,Y,4,L,Mortgage,LI,81441374,BIUK74464864995722,High School,A,Minor Loss,Police,1,0,AK,Anchorage,18,AGENT00269,
16-07-2020 0.00,TXN00001157,A00005543,PLC00004542,05-03-2018,01-07-2020,06-07-2020,Travel,50.52,3000,Rhonda Walker,517 Copperfield Way,,Brentwood,TN,37027,363-40-2511,N,31,100,N,4,M,Own,MI,46630816,ETVY96905354856857,Bachelor,A,Major Loss,Ambulance,1,0,DC,Washington,23,AGENT00238,VNDR00179
16-07-2020 0.00,TXN00001158,A00006400,PLC00004275,01-05-2017,26-06-2020,01-07-2020,Motor,129.6,6000,Rhonda Holt,151 Main Street,,Savannah,GA,31408,030-33-9973,Y,36,14,Y,2,L,Own,MI,74875520,ZOIB86477754298279,High School,A,Minor Loss,Police,1,1,AR,Fayetteville,9,AGENT00972,
16-07-2020 0.00,TXN00001159,A00001687,PLC00003968,27-07-2014,11-07-2020,12-07-2020,Motor,98.91,1000,Vivian Gaver,2035 Ninth Street,R A,Berkeley,CA,94710,135-35-0756,Y,43,78,Y,3,L,Own,LI,33732523,BQKA96114107613401,Masters,A,Total Loss,None,1,0,AZ,Glendale,9,AGENT00330,VNDR00224
16-07-2020 0.00,TXN00001160,A00001015,PLC00009833,10-02-2013,30-06-2020,05-07-2020,Motor,88.6,5000,Eileen Sachs,6116 West Charter Oak Road,,Glendale,AZ,85304,654-92-1625,Y,54,103,N,5,M,Rent,MI,126144497,EBBI64027115756015,Bachelor,A,Minor Loss,Ambulance,1,1,MA,Easton,15,AGENT00172,VNDR00143
16-07-2020 0.00,TXN00001161,A00003142,PLC00002337,09-04-2019,02-07-2020,07-07-2020,Motor,138.64,9000,George Searles,7230 Montagne Circle,,Anchorage,AK,99507,361-28-2631,N,50,7,Y,6,M,Mortgage,HI,21902718,ONGX69493509141334,NA,A,Minor Loss,Police,1,1,CA,Santa Clara,13,AGENT00365,VNDR00303
16-07-2020 0.00,TXN00001162,A00004791,PLC00003848,12-02-2012,01-07-2020,06-07-2020,Mobile,7.12,600,Shauna Lincoln,6201 West Olive Avenue,#3172,Glendale,AZ,85302,506-59-6353,Y,33,73,Y,5,L,Rent,MI,90882474,QQMC45744069085207,Bachelor,A,Minor Loss,Police,1,0,CT,Manchester,5,AGENT00855,
16-07-2020 0.00,TXN00001163,A00008148,PLC00005591,05-01-2012,15-07-2020,15-07-2020,Life,61.19,30000,William Clifton,1400 Rosa L Parks Boulevard,#305,Nashville,TN,37208,748-18-0994,Y,33,80,Y,4,L,Mortgage,MI,47392250,SYSQ62745033117055,Bachelor,A,Total Loss,None,1,0,AR,Van Buren,2,AGENT01084,VNDR00546
16-07-2020 0.00,TXN00001164,A00009097,PLC00000301,29-11-2013,27-06-2020,02-07-2020,Travel,98.92,1000,Charles Burton,4742 Bellevue Avenue,,Louisville,KY,40215,833-61-2494,Y,51,107,Y,6,H,Rent,HI,104415371,IQMH85914903045638,High School,A,Total Loss,None,0,1,GA,Savannah,11,AGENT00594,
16-07-2020 0.00,TXN00001165,A00006462,PLC00009689,16-05-2016,30-06-2020,05-07-2020,Travel,81.22,5000,Edward Hayes,1211 Castine Court,,Pasadena,MD,21122,216-31-6148,N,39,42,Y,2,M,Rent,MI,75878432,ANQS75379607365281,College,A,Minor Loss,Ambulance,0,1,GA,Savannah,11,AGENT00339,
16-07-2020 0.00,TXN00001166,A00003402,PLC00005544,15-02-2019,12-07-2020,13-07-2020,Property,152.24,28000,Lillie Madsen,625 West Main Street,,Moore,OK,73160,856-45-8696,Y,34,77,Y,7,M,Mortgage,HI,101430142,BRDL45757241626658,Bachelor,A,Total Loss,Police,1,1,FL,Lynn Haven,10,AGENT00644,VNDR00359
16-07-2020 0.00,TXN00001167,A00003121,PLC00003082,25-11-2012,03-07-2020,08-07-2020,Life,60.69,50000,Jessica Nosal,814 Coachway,,Annapolis,MD,21401,282-46-2689,N,31,73,Y,6,M,Own,MI,47664632,PGQG16021202690913,Bachelor,A,Major Loss,Other,1,1,AR,Fayetteville,19,AGENT00298,VNDR00529
16-07-2020 0.00,TXN00001168,A00009732,PLC00009606,18-05-2018,28-06-2020,03-07-2020,Motor,75.09,4000,Tanya Deleon,2803 River Drive,,Thunderbolt,GA,31404,629-21-9982,Y,31,38,Y,3,M,Mortgage,LI,102364152,PFLX54618182262589,High School,A,Major Loss,Ambulance,1,0,VT,Stratton,0,AGENT01075,
16-07-2020 0.00,TXN00001169,A00001989,PLC00009373,24-03-2018,08-07-2020,11-07-2020,Health,135.03,5000,Suzanne Weiss,8277 Lamar Place,,Arvada,CO,80003,585-53-2844,Y,57,26,Y,3,M,Own,MI,76227406,MQHP86937933196760,Bachelor,A,Total Loss,None,1,1,OK,Moore,15,AGENT00296,
16-07-2020 0.00,TXN00001170,A00002390,PLC00004076,31-10-2017,07-07-2020,10-07-2020,Health,147.88,7000,Scott Young,314 Mesa Street,,Wheatland,CA,95692,566-74-9821,Y,56,25,Y,6,M,Rent,LI,59126207,YIWC84797016280993,High School,A,Minor Loss,Police,1,0,CA,San Diego,22,AGENT01080,
16-07-2020 0.00,TXN00001171,A00000963,PLC00002668,18-12-2014,04-07-2020,09-07-2020,Travel,60.28,3000,Kelly Holder,8415 Running Spring Drive,,Louisville,KY,40241,727-98-7331,Y,61,35,Y,3,M,Own,MI,63604870,WAGY60764209492933,Bachelor,A,Major Loss,Police,1,1,VT,Danville,10,AGENT00980,VNDR00469
16-07-2020 0.00,TXN00001172,A00002467,PLC00009588,17-09-2017,09-07-2020,11-07-2020,Travel,64.14,2000,Leona Rivera,31130 Meadowbrook Avenue,,Hayward,CA,94544,454-18-8605,Y,29,64,Y,5,L,Own,HI,89967562,NITR87962712366426,Bachelor,D,Total Loss,Ambulance,0,1,MA,Cambridge,10,AGENT00243,VNDR00019
16-07-2020 0.00,TXN00001173,A00002489,PLC00007883,02-02-2018,11-07-2020,12-07-2020,Travel,58.07,4000,Gary Cooper,816 East 69th Street,,Savannah,GA,31405,702-20-6024,Y,31,66,N,6,M,Mortgage,HI,122679128,TMFI83013854278952,Bachelor,A,Major Loss,Ambulance,1,0,CA,Berkeley,20,AGENT00581,VNDR00508
16-07-2020 0.00,TXN00001174,A00009771,PLC00009985,21-04-2012,06-07-2020,09-07-2020,Health,153.28,2000,Sharon Lairy,13852 West 66th Place,,Arvada,CO,80004,392-03-4601,Y,33,84,Y,3,M,Rent,MI,82662864,RZFK92434784989008,Bachelor,A,Minor Loss,Ambulance,1,1,OK,Oklahoma City,7,AGENT00513,VNDR00326
16-07-2020 0.00,TXN00001175,A00002640,PLC00001472,22-07-2018,05-07-2020,10-07-2020,Property,122.47,19000,Stephanie Bozek,57 Pierpoint Avenue,,Rutland,VT,5701,841-13-3919,Y,62,55,Y,5,L,Rent,MI,101464406,BCRB14438303584111,NA,A,Total Loss,Police,1,1,AR,Fayetteville,4,AGENT01031,
16-07-2020 0.00,TXN00001176,A00006457,PLC00003152,18-01-2013,04-07-2020,09-07-2020,Health,178.33,10000,Gloria Mahn,491 Arabian Way,,Grand Junction,CO,81504,567-23-6444,Y,41,107,Y,7,L,Rent,LI,40455819,JAIY83333728920151,High School,A,Major Loss,Police,0,0,AL,Montgomery,21,AGENT00972,
16-07-2020 0.00,TXN00001177,A00005819,PLC00003049,12-12-2016,07-07-2020,10-07-2020,Mobile,9.42,700,Edward Yarbrough,2315 Chestnut Street,,Montgomery,AL,36107,234-97-7768,Y,58,21,Y,6,M,Mortgage,LI,100278172,BEDK51806447406110,Bachelor,A,Minor Loss,None,1,1,TN,Nashville,0,AGENT00308,VNDR00094
16-07-2020 0.00,TXN00001178,A00002591,PLC00009504,06-06-2011,04-07-2020,09-07-2020,Travel,94.73,2000,Melodie Mccall,12610 Webber Road,,Fountain,FL,32438,824-22-7904,Y,41,66,Y,4,M,Mortgage,HI,92305959,PFYF93666009129291,MD,A,Minor Loss,Ambulance,1,1,DC,Washington,20,AGENT00942,VNDR00483
17-07-2020 0.00,TXN00001179,A00001014,PLC00000823,27-06-2011,06-07-2020,11-07-2020,Motor,137.49,9000,Shawn Driscoll,5065 North 54th Avenue,#8,Glendale,AZ,85301,415-34-2616,Y,53,97,Y,2,L,Mortgage,HI,117508712,DUCC40433963927317,High School,A,Major Loss,None,1,1,TN,Nashville,8,AGENT00593,VNDR00495
17-07-2020 0.00,TXN00001180,A00002811,PLC00007516,15-12-2011,02-07-2020,07-07-2020,Life,54.46,83000,John Reyna,705 Upshur Street Northwest,,Washington,DC,20011,308-27-1302,N,27,76,Y,5,M,Rent,MI,10055605,HKPL56865312861238,Masters,A,Major Loss,Other,0,1,CT,Manchester,23,AGENT00243,
17-07-2020 0.00,TXN00001181,A00002828,PLC00006893,25-07-2010,14-07-2020,14-07-2020,Health,173.44,16000,Timothy Gabriele,3578 Galindo Street,,Oakland,CA,94601,896-21-3008,Y,38,43,Y,7,M,Rent,MI,117968297,BMKL93142205903448,College,D,Minor Loss,Other,1,1,OK,Oklahoma City,0,AGENT00757,
17-07-2020 0.00,TXN00001182,A00006965,PLC00009794,16-09-2019,02-07-2020,07-07-2020,Health,169.34,9000,Terry Cruz,25 Morton Street,#216,Quincy,MA,2169,196-14-6917,N,45,70,Y,3,M,Rent,HI,44248970,UCKR44026944949491,Bachelor,A,Major Loss,Police,1,1,CA,Linda,23,AGENT00420,
17-07-2020 0.00,TXN00001183,A00005031,PLC00004662,05-06-2016,30-06-2020,05-07-2020,Life,74.69,87000,Ronald Garczynski,600 12th Avenue South,#833,Nashville,TN,37203,776-95-7321,N,61,118,Y,2,M,Rent,MI,26252874,ANJI19246259821382,Bachelor,A,Total Loss,Ambulance,1,0,CT,Manchester,22,AGENT00913,VNDR00092
17-07-2020 0.00,TXN00001184,A00003835,PLC00005418,01-08-2013,15-07-2020,15-07-2020,Travel,62.85,2000,Albert Ramos,3 Dayton Street,,Chelmsford,MA,1863,541-61-2626,Y,33,34,Y,2,M,Mortgage,MI,57652786,RZCN63861443786510,High School,A,Major Loss,Other,0,1,CO,Arvada,4,AGENT01143,VNDR00275
17-07-2020 0.00,TXN00001185,A00000029,PLC00008738,29-07-2016,02-07-2020,07-07-2020,Motor,119.98,3000,Bessie Lee,275 Henry Street,,Manchester,CT,6042,611-60-0893,Y,60,74,Y,2,M,Mortgage,MI,64377698,TKDI92804031564498,Bachelor,A,Minor Loss,Ambulance,1,1,CA,Fremont,5,AGENT00226,VNDR00386
17-07-2020 0.00,TXN00001186,A00005799,PLC00004151,06-10-2011,04-07-2020,09-07-2020,Motor,124.12,5000,Terry Flies,1429 Harrison Avenue,,Panama City,FL,32401,788-40-5352,Y,43,55,Y,3,H,Own,LI,15589888,QDTG23701458248803,PhD,A,Major Loss,None,1,1,MD,Baltimore,19,AGENT00556,
17-07-2020 0.00,TXN00001187,A00002180,PLC00004876,06-11-2016,09-07-2020,12-07-2020,Life,65.62,35000,Eugene Ditzel,5024 West Christy Drive,,Glendale,AZ,85304,700-52-0219,Y,37,64,Y,6,L,Rent,MI,84782564,GZGI26219000242781,Bachelor,A,Major Loss,Other,1,1,MD,Glen Burnie,13,AGENT00217,VNDR00518
17-07-2020 0.00,TXN00001188,A00007001,PLC00002285,06-06-2016,09-07-2020,12-07-2020,Property,136.67,22000,Doris Harrison,1695 Archer Street,,Savannah,GA,31405,066-63-5709,N,64,116,Y,7,M,Mortgage,HI,51038597,GXXL39738437359108,Bachelor,D,Major Loss,Ambulance,1,0,MD,Deale,9,AGENT00495,VNDR00125
17-07-2020 0.00,TXN00001189,A00006926,PLC00004605,17-06-2014,29-06-2020,04-07-2020,Motor,134.02,8000,Dan Martin,12725 Landmark Street,APT A,Anchorage,AK,99515,284-21-3237,N,39,62,Y,5,L,Mortgage,MI,60323413,AGFX36382059898538,Bachelor,A,Minor Loss,Ambulance,1,0,MA,Salem,8,AGENT00888,VNDR00112
17-07-2020 0.00,TXN00001190,A00006186,PLC00006294,20-03-2016,05-07-2020,10-07-2020,Motor,107.65,6000,Paul Roper,1 Kempf Drive,,Easton,MA,2375,717-19-6952,N,51,73,Y,5,M,Rent,HI,93906412,MPFF67491766515730,PhD,A,Minor Loss,Other,0,1,MA,Marblehead,4,AGENT00581,
17-07-2020 0.00,TXN00001191,A00008886,PLC00007618,27-07-2014,10-07-2020,12-07-2020,Travel,79.84,1000,Leslie Reynolds,306 East Lafayette Street,,Fayetteville,AR,72701,588-47-2537,Y,61,92,Y,2,M,Mortgage,MI,106309870,KETD40326978281269,High School,D,Major Loss,Ambulance,1,1,DC,Washington,17,AGENT01191,
17-07-2020 0.00,TXN00001192,A00001527,PLC00002535,09-04-2016,07-07-2020,10-07-2020,Health,175.16,18000,Danielle Saeteun,261 East Old Hickory Boulevard,,Nashville,TN,37115,455-07-4767,Y,42,18,Y,2,M,Own,HI,100981265,CKFY95363337923275,Bachelor,A,Minor Loss,None,1,1,AR,Fayetteville,1,AGENT00318,
17-07-2020 0.00,TXN00001193,A00007049,PLC00007046,03-07-2015,06-07-2020,11-07-2020,Property,130.6,36000,Loren Mulder,505 Tarpon Street,,Panama City Beach,FL,32413,378-48-5672,Y,61,43,Y,2,H,Rent,LI,30477577,XVIJ46450439041925,NA,A,Major Loss,Police,1,1,FL,Panama City,21,AGENT00241,VNDR00144
17-07-2020 0.00,TXN00001194,A00005652,PLC00006541,27-03-2013,11-07-2020,13-07-2020,Life,92.79,54000,Johnny Golden,8391 West 52nd Avenue,,Arvada,CO,80002,792-18-9299,Y,53,63,Y,6,L,Mortgage,MI,93089850,PIQX39584304047947,Bachelor,A,Total Loss,Ambulance,1,0,FL,Panama City Beach,3,AGENT00684,
17-07-2020 0.00,TXN00001195,A00009071,PLC00002513,24-11-2015,15-07-2020,15-07-2020,Motor,87.5,9000,Randy Jones,3835 Oakes Drive,,Hayward,CA,94542,784-11-1802,N,64,43,Y,6,M,Own,LI,123875853,EWWF21461633232258,Bachelor,A,Major Loss,None,0,1,CT,Groton,18,AGENT00062,VNDR00311
17-07-2020 0.00,TXN00001196,A00007646,PLC00009461,27-03-2019,10-07-2020,12-07-2020,Motor,99.2,8000,Lillian Mcneil,511 Norton Avenue,,Nashville,TN,37207,072-62-0324,N,61,31,Y,4,L,Rent,MI,59883184,ORBR04362599536245,Bachelor,A,Major Loss,None,1,1,GA,Savannah,18,AGENT00614,
17-07-2020 0.00,TXN00001197,A00000243,PLC00007773,06-05-2019,16-07-2020,16-07-2020,Travel,92.98,1000,Dallas Macnab,18426 West Carol Avenue,,Waddell,AZ,85355,654-58-6269,N,59,63,Y,6,M,Own,LI,11856638,ODLX64336071302580,PhD,A,Minor Loss,None,1,1,DC,Washington,13,AGENT00207,VNDR00597
17-07-2020 0.00,TXN00001198,A00002166,PLC00001240,04-09-2019,01-07-2020,06-07-2020,Property,124.11,13000,Lydia Cordes,8801 North 63rd Drive,,Glendale,AZ,85302,224-80-9074,Y,39,117,Y,2,H,Rent,MI,49048120,GGKW49747364716931,PhD,A,Total Loss,Police,1,1,AL,Montevallo,17,AGENT00874,
17-07-2020 0.00,TXN00001199,A00009540,PLC00006302,16-05-2011,08-07-2020,11-07-2020,Health,153.56,12000,Kathleen Medders,349 North Sabine Pass Road,,Fayetteville,AR,72704,125-99-3962,Y,46,18,Y,5,M,Own,MI,35220648,AWQW32795634596102,High School,A,Minor Loss,Police,1,1,VT,Wilmington,2,AGENT00339,
17-07-2020 0.00,TXN00001200,A00000982,PLC00006817,25-01-2011,14-07-2020,14-07-2020,Mobile,6.16,200,Julie Hoover,8726 Downey Road,,Severn,MD,21144,228-80-4108,Y,27,25,Y,5,M,Mortgage,MI,35704805,CCDI35273668731550,Bachelor,A,Major Loss,Ambulance,0,1,VT,Brookfield,1,AGENT00991,VNDR00330
